seed,model,final_value,improvements,sum_N,resilience_score
261,PSI,19862,3,229.5437,0.0000
262,GR-B,10116,0,0.0000,0.0000
262,GR-LS,10119,1,0.0000,0.0000
262,PSI,19862,3,229.5437,0.0000
263,GR-B,10116,0,0.0000,0.0000
263,GR-LS,10119,1,0.0000,0.0000
263,PSI,19862,3,229.5437,0.0000
264,GR-B,10116,0,0.0000,0.0000
264,GR-LS,10119,1,0.0000,0.0000
264,PSI,19862,3,229.5437,0.0000
265,GR-B,10116,0,0.0000,0.0000
265,GR-LS,10119,1,0.0000,0.0000
265,PSI,19862,3,229.5437,0.0000
266,GR-B,10116,0,0.0000,0.0000
266,GR-LS,10119,1,0.0000,0.0000
266,PSI,19862,3,229.5437,0.0000
267,GR-B,10116,0,0.0000,0.0000
267,GR-LS,10119,1,0.0000,0.0000
267,PSI,19862,3,229.5437,0.0000
268,GR-B,10116,0,0.0000,0.0000
268,GR-LS,10119,1,0.0000,0.0000
268,PSI,19862,3,229.5437,0.0000
269,GR-B,10116,0,0.0000,0.0000
269,GR-LS,10119,1,0.0000,0.0000
269,PSI,19862,3,229.5437,0.0000
270,GR-B,10116,0,0.0000,0.0000
270,GR-LS,10119,1,0.0000,0.0000
270,PSI,19862,3,229.5437,0.0000
271,GR-B,10116,0,0.0000,0.0000
271,GR-LS,10119,1,0.0000,0.0000
271,PSI,19862,3,229.5437,0.0000
272,GR-B,10116,0,0.0000,0.0000
272,GR-LS,10119,1,0.0000,0.0000
272,PSI,19862,3,229.5437,0.0000
273,GR-B,10116,0,0.0000,0.0000
273,GR-LS,10119,1,0.0000,0.0000
273,PSI,19862,3,229.5437,0.0000
274,GR-B,10116,0,0.0000,0.0000
274,GR-LS,10119,1,0.0000,0.0000
274,PSI,19862,3,229.5437,0.0000
275,GR-B,10116,0,0.0000,0.0000
275,GR-LS,10119,1,0.0000,0.0000
275,PSI,19862,3,229.5437,0.0000
276,GR-B,10116,0,0.0000,0.0000
276,GR-LS,10119,1,0.0000,0.0000
276,PSI,19862,3,229.5437,0.0000
277,GR-B,10116,0,0.0000,0.0000
277,GR-LS,10119,1,0.0000,0.0000
277,PSI,19862,3,229.5437,0.0000
278,GR-B,10116,0,0.0000,0.0000
278,GR-LS,10119,1,0.0000,0.0000
278,PSI,19862,3,229.5437,0.0000
279,GR-B,10116,0,0.0000,0.0000
279,GR-LS,10119,1,0.0000,0.0000
279,PSI,19862,3,229.5437,0.0000
280,GR-B,10116,0,0.0000,0.0000
280,GR-LS,10119,1,0.0000,0.0000
280,PSI,19862,3,229.5437,0.0000
281,GR-B,10116,0,0.0000,0.0000
281,GR-LS,10119,1,0.0000,0.0000
281,PSI,19862,3,229.5437,0.0000
282,GR-B,10116,0,0.0000,0.0000
282,GR-LS,10119,1,0.0000,0.0000
282,PSI,19862,3,229.5437,0.0000
283,GR-B,10116,0,0.0000,0.0000
283,GR-LS,10119,1,0.0000,0.0000
283,PSI,19862,3,229.5437,0.0000
284,GR-B,10116,0,0.0000,0.0000
284,GR-LS,10119,1,0.0000,0.0000
284,PSI,19862,3,229.5437,0.0000
285,GR-B,10116,0,0.0000,0.0000
285,GR-LS,10119,1,0.0000,0.0000
285,PSI,19862,3,229.5437,0.0000
286,GR-B,10116,0,0.0000,0.0000
286,GR-LS,10119,1,0.0000,0.0000
286,PSI,19862,3,229.5437,0.0000
287,GR-B,10116,0,0.0000,0.0000
287,GR-LS,10119,1,0.0000,0.0000
287,PSI,19862,3,229.5437,0.0000
288,GR-B,10116,0,0.0000,0.0000
288,GR-LS,10119,1,0.0000,0.0000
288,PSI,19862,3,229.5437,0.0000
289,GR-B,10116,0,0.0000,0.0000
289,GR-LS,10119,1,0.0000,0.0000
289,PSI,19862,3,229.5437,0.0000
290,GR-B,10116,0,0.0000,0.0000
290,GR-LS,10119,1,0.0000,0.0000
290,PSI,19862,3,229.5437,0.0000
291,GR-B,10116,0,0.0000,0.0000
291,GR-LS,10119,1,0.0000,0.0000
291,PSI,19862,3,229.5437,0.0000
